Sheet ID,Project ID,Project Title,Funding Type,Funding Amount,WRRI Science Priority,Focus Category 1,Focus Category 2,Focus Category 3,Project PIs,PI Affiliated Organization,Undergraduates Supported by WRRA $,Masters Students Supported by WRRA $,PhD Students Supported by WRRA $,Postdocs Supported by WRRA $,Students Supported by Non-Federal (Matching) Funds,Unsorted ID,Sorted ID
1,2020IL216B,A Coupled Urban Spatial Simulation and Stormwater Runoff Model and Its Implications for Physrical Design: The Case of Chicago,Base Grant (104b),10000,"Water Policy, Planning, and Socioeconomics",CLIMATOLOGICAL PROCESSES,MODELS,HYDROLOGY,Brian Deal,University of Illinois at Urbana-Champaign,0,0,1,0.0,0.0,1,1
2,IL-2022_Sankaran,A hybrid plasma-electrocatalyst activated process for the synthesis of ammonia from air and water,Base Grant (104b),10000,Water Technology and Innovation,agriculture,atmospheric deposition,conservation,Dr. R. Mohan Sankaran,University of Illinois at Urbana-Champaign,1,0,1,0.0,2.0,14,2
3,IL-2022_Lampert_B,Analyzing nutrient sources in the production of harmful algal blooms in Long Lake and reducing energy use for wastewater nutrient removal using machine learning,Base Grant (104b),20000,Water Quality,surface water,wastewater,phosphorus,Dr. David Lampert,Illinois Institute of Technology,1,0,2,0.0,0.0,12,3
4,IL_2021_Stillwell,Assessing the Feasibility of Non-Potable Water Reuse in Illinois,Base Grant (104b),10000,Water Scarcity and Availability,WATER SUPPLY,"LAW, INSTITUTIONS, AND POLICY",MANAGEMENT AND PLANNING,Ashlynn Stillwell,University of Illinois at Urbana-Champaign,1,1,0,0.0,0.0,6,4
5,IL_2023_Li,Assessing the Vulnerability of Public Water Systems to Droughts with an Integrated Remote Sensing and Social Sensing Approach,Base Grant (104b),15000,Water Scarcity and Availability,water supply,drought,hydrology,Ruopu Li,Southern Illinois University,0,1,0,0.0,1.0,39,5
6,IL_2022_Corush,Causes and Consequences of Mollusk Invasions Throughout the Illinois River Watershed,104g - AIS,300000,Watershed Function,aquatic invasive species,ecology,conservation,Joel Corush,University of Illinois at Urbana-Champaign,7,0,1,1.0,1.0,47,7
7,IL_2021_Lampert,Containment of Per- and Polyfluoroalkyl Substances to Protect Surface Water,Base Grant (104b),10000,Water Quality,TOXIC SUBSTANCES,SOLUTE TRANSPORT,GROUNDWATER,David Lampert,Illinois Institute of Technology,0,1,1,0.0,0.0,10,10
8,IL_2024_Park,Conversion of Per- and Polyfluoroalkyl Substances (PFAS) to Valuable Chemicals via Electrochemical Destruction Process,Base Grant (104b),15000,Water-Related Hazards and Climate Variability,PFAs,surface water,methods,Jung Hyun Park,University of Illinois at Urbana-Champaign,1,1,0,0.0,0.0,41,11
9,IL_2023_Su,Development of Next-Generation Electrochemical Systems for Short-Chain PFAS Removal and Remediation,Base Grant (104b),15000,Water Technology and Innovation,PFAs,treatment,toxic substances,Xiao Su,University of Illinois at Urbana-Champaign,0,0,1,0.0,1.0,38,12
10,IL-2022_Lin_CF,Development of Testing of a Subsurface Energy Transport Package for MODFLOW,Coordination Grant,200000,Water Technology and Innovation,models,groundwater,methods,Yu-Feng Lin,University of Illinois at Urbana-Champaign,0,0,1,0.0,0.0,33,14
11,IL_2021_Kim,"Efficacious, recyclable, and low-cost inorganic adsorbent to remove harmful PFAs compounds in aqueous matrics",Base Grant (104b),10000,Water Technology and Innovation,TOXIC SUBSTANCES,TREATMENT,WATER QUALITY,Jaemin Kim,University of Illinois at Urbana-Champaign,0,1,0,0.0,0.0,7,16
12,IL_2021_Tinoco,Enemy of My Enemy?: Ecohydraulic Assessment of Interactions of Multiple Invasive Species in the Upper Mississippi River Basin,104g - AIS,238013,Watershed Function,aquatic invasive species,surface water,hydrology,"Tinoco Lopez, Rafael Omar",University of Illinois at Urbana-Champaign,1,0,4,0.0,0.0,45,17
13,IL_2024_Li,Enhancing Field-scale Drainage Mapping Through Geospatial Artificial Intelligence,Base Grant (104b),15000,Water Technology and Innovation,surface water,models,hydrology,Ruopu Li,Southern Illinois University,0,1,0,0.0,1.0,43,20
14,IL-2022_Rhoads,Evaluating Sources of Fine Sediment to Headwater Streams in Intensively Managed Agricultural Landscapes of Illinois,Base Grant (104b),9700,Water Quality,sediments,surface water,geochemical processes,Dr. Bruce Rhoads,University of Illinois at Urbana-Champaign,1,0,2,0.0,0.0,13,21
15,IL_2023_Prada,Fast and Energy-Efficient Destruction of PFAS Compounds with Piezoelectric Formulations on Aqueous Sorbents (FEED-PFAS),Base Grant (104b),14998,Water Quality,PFAs,methods,treatment,Andres Prada,University of Illinois at Urbana-Champaign,3,0,0,0.0,0.0,37,22
16,IL_2021_Rhoads,"Floodplain morphology, floodplain inundation, and riparian ecology in the context of the changing hydrology of rivers in Illinois",Base Grant (104b),9500,Water-Related Hazards and Climate Variability,GEOMORPOLOGICAL PROCESSES,FLOODS,HYDROLOGY,Bruce Rhoads,University of Illinois at Urbana-Champaign,0,0,1,0.0,0.0,8,24
17,IL_2022_Parkos,Habitat Selection of Juvenile Black Carp and Associated Predatory Effects on Native and Non-native Bivalves,104g - AIS,122318,Water Quality,aquatic invasive species,ecology,models,Joseph J. Parkos III,University of Illinois at Urbana-Champaign,0,1,0,0.0,0.0,48,25
18,IL_2023_Taylor,"Land Use Impacts on Environmental Quality and Aquatic Biodiversity in the Vermillion River Drainage, Illinois",Base Grant (104b),15141,Water Quality,aquatic invasive species,ecology,conservation,Caitlin Bloomer,University of Illinois at Urbana-Champaign,0,2,1,1.0,4.0,36,28
19,2020IL214B,"Low Cost Mycelial Stabilization of Coal Combustion Products to Reduce as, and Contamination of Groundwater",Base Grant (104b),9988,Water Technology and Innovation,GROUNDWATER,WATER QUALITY,,Linduo Zhao,University of Illinois at Urbana-Champaign,2,0,0,0.0,0.0,2,30
