Report Year,Project ID,Project Title,"Award, Achievement, or Grant",Award Source Organization,Award Description,Year Awarded,Month Awarded,Award Recipient Names,Award Recipient Roles,Monetary Benefit of Award,Award Comments,Sorted ID,Unsorted ID
2021,IL_2021_Lampert,Containment of Per- and Polyfluoroalkyl Substances to Protect Surface Water,Grant,,"Additional USGS 104g grant ($250,000, expected December 2022) that follows on this research",,,David Lampert,PI,"$250,000",PFAS transport from contaminated areas to surface waters,9,5
2021,IL_2021_Lampert,Containment of Per- and Polyfluoroalkyl Substances to Protect Surface Water,Grant,,"Additional USEPA P3 grants ($100,000 awarded 10/2022) that follow on this research",,,David Lampert,PI,"$100,000",,9.1,5.1
2023,IL_2023_Su,Development of next-generation electrochemical systems for short-chain PFAS removal and remediation.,Award,American Chemical Society,The Satinder Ahuja Award for Young Investigators in Separation Science,2024,July,Xiao Su,CO-PI,$0,,12,21
2022,IL-2022_Rhoads,Evaluating Sources of Fine Sediment to Headwater Streams in Intensively Managed Agricultural Landscapes of Illinois,Award,National Science Foundation,Competitive Research Experience for Undergraduates Award,2023,April,Anne Cooke,Student,"$6,000",Undergraduate student assisted with field work over the summer in part to try to accomplish project goals in absence of the PhD student whose research was supposed to be supported by project funds,20,8
2024,IL_2022_Lampert_G,PFAS Transport from Contaminated Areas to Surface Waters,Grant,NOAA/Illinois Indiana Sea Grant,"Lampert, D.J., Sandhu, A., and Shapiro, M. “Bioaccumulation assessment of PFAS from contaminated sediments.” National Oceanic and Atmospheric Administration, Illinois-Indiana Sea Grant Biennial Research Program.",2024,October,David Lampert,PI,"$198,167",,32,42
2022,2020IL103AIS,Water quality as a deterrent to the movement of invasive fishes in the Illinois Waterway: Implications for the Upper Mississippi Basin,Award,Illinois Muskie Tournament Trail Fishery Scholarship,Awarded to undergraduate or graduate students studying fisheries,2021,December,Amy Schneider,Student,"$1,000",,41,11
2022,2020IL103AIS,Water quality as a deterrent to the movement of invasive fishes in the Illinois Waterway: Implications for the Upper Mississippi Basin,Grant,Illinois AFS,Larimore Student Research Grant,2021,December,Amy Schneider,Student,$500,For graduate students attending an Illinois college or university to promote research in Illinois fisheries,41.1,11.1
2022,2020IL103AIS,Water quality as a deterrent to the movement of invasive fishes in the Illinois Waterway: Implications for the Upper Mississippi Basin,Grant,UIUC Department of Natural Resources and Environmental Sciences,NRES Graduate Research Improvement Grant,2022,April,Amy Schneider,Student,"$4,965",For outstanding UIUC NRES graduate students conducting research in the department,41.2,11.2
2022,2020IL103AIS,Water quality as a deterrent to the movement of invasive fishes in the Illinois Waterway: Implications for the Upper Mississippi Basin,Grant,Illinois AFS,Illinois AFS Travel Grant,2023,February,Amy Schneider,Student,$500,For graduate students attending an Illinois college or university to help provide travel to the Illinois AFS conference,41.3,11.3
2023,2020IL103AIS,Water Quality as a Deterrent to the Movement of Invasive Fishes in the Illinois Waterway: Implications for the Upper Mississippi Basin,Award,University of Illinois Urbana-Champaign Department of Natural Resources and Environmental Sciences,Graduate student award for research excellence,2024,April,Amy Schneider,Student,$250,Amy is a graduate student solely supported through this 104(g) award.,42,28
2023,2020IL103AIS,Water Quality as a Deterrent to the Movement of Invasive Fishes in the Illinois Waterway: Implications for the Upper Mississippi Basin,Award,,Best Student Poster Presentation,2024,February,Amy Schneider,Student,$0,Award for presentation of research related to this 104(g) project,42.1,28.1
2023,2020IL103AIS,Water Quality as a Deterrent to the Movement of Invasive Fishes in the Illinois Waterway: Implications for the Upper Mississippi Basin,Award,American Academy for the Advancement of Science,Elected Fellow recognizing excellence in research with an emphasis on barriers controlling the spread of invasive species,2024,,Cory Suski,PI,$0,,42.2,28.2
